"object_id","lat","lon","source","riqueza","Chl","POC","gamma","SST","SSS","bbp"
"D20211220T194606_IFCB107",-48.6445,-63.9661,"bloom",17,3.73903227751616,293.54870895291,0.3411204651688,11.6812055555556,33.4058944444445,0.00244348690623571
"D20211220T192140_IFCB107",-48.5959,-63.9477,"bloom",18,1.83193287177059,216.109188829572,0.653889954989285,11.7071633333333,33.40699,0.0025141979196753
"D20211220T185716_IFCB107",-48.5454,-63.9257,"bloom",17,1.03844841272029,189.749235156263,0.854200938487261,11.6612611111111,33.3886555555555,0.00252689222585405
"D20211220T183250_IFCB107",-48.4963,-63.9004,"bloom",22,1.59547411407794,235.742974384317,0.824864151638261,11.6605666666667,33.4064416666667,0.00339299514374437
"D20211220T174358_IFCB107",-48.406,-63.8447,"bloom",19,5.63834858460313,294.876291415856,0.344976171635494,11.7419833333333,33.3994166666667,0.00415925823633427
"D20211220T171932_IFCB107",-48.3615,-63.8213,"bloom",17,3.04109095915914,204.111648241329,0.511574494081961,11.7607444444444,33.3842333333333,0.00272771272453389
"D20211220T165506_IFCB107",-48.3151,-63.793,"bloom",21,5.19676319603727,284.890577244529,0.333431773462336,12.0083333333333,33.3887666666667,0.00337990165900349
"D20211220T163040_IFCB107",-48.2656,-63.7595,"bloom",17,6.25589416938197,331.52037086574,0.206315181008101,12.0029,33.3893777777778,0.00356721276096564
"D20211219T223411_IFCB107",-46.5283,-62.4952,"talud",18,2.0090434625222,291.219943620467,0.402339730496939,13.5427722222222,33.4308222222222,0.00179387489212862
"D20211219T214521_IFCB107",-46.4972,-62.4234,"talud",15,1.14622463036516,209.467611535392,0.590417244142124,13.5267666666667,33.4584375,0.00143460438616028
"D20211219T212056_IFCB107",-46.4743,-62.3735,"talud",15,0.80276069973294,162.698540303046,0.729254673716239,13.51175,33.46877,0.00134594285345564
"D20211219T205631_IFCB107",-46.4462,-62.3143,"talud",20,0.583632530827574,135.642952577982,0.855550174892998,13.4303833333333,33.4776,0.00140428726855743
"D20211219T203206_IFCB107",-46.4206,-62.2585,"talud",16,0.558031868227475,130.020736640025,0.89589795275369,13.39995,33.4845433333333,0.00142500013564836
"D20211219T151447_IFCB107",-46.3877,-61.4764,"talud",14,0.668571594433133,148.226336241754,1.00392993476251,13.2415277777778,33.5585555555556,0.00215300311639205
"D20211219T145023_IFCB107",-46.3889,-61.43,"talud",15,0.664632398490668,137.795202009289,1.01120456708652,13.2491388888889,33.5591944444445,0.00191322198451084
"D20211219T142559_IFCB107",-46.3853,-61.382,"talud",13,0.626349256963628,146.554957050475,0.971280199750879,13.2760291666667,33.5593125,0.0019337197199304
"D20211219T194317_IFCB107",-46.3817,-62.1437,"talud",19,0.617499889425503,131.900488745025,0.881580404794592,13.4464,33.5009125,0.00135315494110505
"D20211219T153913_IFCB107",-46.3813,-61.5268,"talud",13,0.650744273692601,128.834212424879,0.983740801757731,13.326,33.555825,0.00162051963458609
"D20211219T140134_IFCB107",-46.3813,-61.3219,"talud",16,0.604485064816997,136.353291050104,1.01913035583073,13.2842,33.561475,0.00186115134964668
"D20211219T133710_IFCB107",-46.3814,-61.2752,"talud",14,0.582072283268447,164.001517466576,1.00912542307295,13.3239133333333,33.5627333333333,0.00263751921352259
"D20211219T191852_IFCB107",-46.368,-62.0828,"talud",16,0.628620945193543,139.112381722573,0.913928390274203,13.4675666666667,33.5060125,0.00143496097586402
"D20211219T131247_IFCB107",-46.366,-61.2778,"talud",13,0.546357748120579,119.586935149191,1.10101963144675,13.38155,33.5621777777778,0.0016395886049204
"D20211219T162801_IFCB107",-46.3617,-61.6828,"talud",11,0.556580642954349,141.426582576217,0.841880752849275,13.4684666666667,33.5249,0.00176732676726235
"D20211219T183003_IFCB107",-46.3533,-61.9624,"talud",15,1.00041538297382,170.006586237789,0.893018183438492,13.5437555555556,33.51135,0.00161090226570269
"D20211219T174114_IFCB107",-46.3465,-61.8499,"talud",20,0.902884581420521,168.524116666203,0.908444176962713,13.5734083333334,33.5136833333333,0.00166730156885829
"D20211219T165225_IFCB107",-46.3521,-61.7408,"talud",14,0.631023342628441,153.821759036184,0.916140462603188,13.5410166666667,33.5159722222222,0.0017502169169662
"D20211219T124822_IFCB107",-46.3482,-61.2376,"talud",12,0.500065847011686,114.245285870577,1.17244419083194,13.4217166666667,33.5624111111111,0.00166812181105843
"D20211219T171650_IFCB107",-46.3432,-61.7857,"talud",17,0.831036800797185,161.202508823631,0.921459215995351,13.5946833333333,33.5108111111111,0.00176271927172707
"D20211219T122357_IFCB107",-46.3258,-61.1921,"talud",12,0.489137780122742,106.060103069373,1.29838863138922,13.5028,33.5657833333333,0.00160598720160745
"D20211219T115932_IFCB107",-46.3029,-61.1455,"talud",16,0.454818976146597,105.878966605292,1.38456315877766,13.487275,33.5668333333333,0.00156331352136989
"D20211219T113507_IFCB107",-46.2794,-61.0976,"talud",16,0.471020652959415,107.302384645901,1.4357985720357,13.4647111111111,33.5666222222222,0.00155333565010519
"D20211219T111042_IFCB107",-46.2565,-61.0468,"talud",11,0.483369132802933,109.646822918914,1.42675522737818,13.4076333333334,33.5664083333333,0.00147416603386281
"D20211219T104617_IFCB107",-46.2358,-60.9928,"talud",10,0.486597802893978,108.19099128509,1.3534189234717,13.4543333333333,33.5642333333333,0.00140354215384844
"D20211219T095726_IFCB107",-46.1936,-60.8858,"talud",15,0.494473895217423,112.038323226682,1.29820079038044,13.26215,33.5574166666667,0.00138869554978208
"D20211219T093300_IFCB107",-46.1727,-60.8328,"talud",14,0.518110394371638,114.555623120815,1.28067869070813,13.0800611111111,33.5503555555556,0.00133704972178379
"D20211219T084408_IFCB107",-46.1326,-60.7279,"talud",14,0.685483415553112,134.552691296684,1.16054326764227,12.992475,33.5465458333333,0.00120080489115366
"D20211219T075324_IFCB107",-46.0906,-60.6188,"talud",17,0.945307360473361,141.124460952519,1.14921677782481,12.8710944444444,33.5452777777778,0.00116530696778583
"D20211219T072858_IFCB107",-46.0684,-60.5686,"talud",19,1.03994474226724,146.082920332061,1.12919064981025,12.8149541666667,33.5421291666666,0.00117847495079208
"D20211219T070433_IFCB107",-46.0434,-60.5247,"talud",22,1.31315369542289,175.425385884084,1.03392935635702,12.7744333333333,33.5370333333333,0.00115685223594185
"D20211219T064007_IFCB107",-46.0259,-60.479,"talud",11,1.97725298880334,232.116821033255,0.99155943888331,12.6880416666667,33.5255791666667,0.00107630246166028
"D20211219T061542_IFCB107",-46.005,-60.4352,"talud",12,2.42304454808355,263.431059841332,0.999194563560596,12.5313895833333,33.5099354166667,0.00111089441104724
